DateKey,FullDate,Day,Month,Year,DayName,MonthName,Quarter,Half,YearMonth,IsWeekend
227,2023-08-15,15,8,2023,Tuesday,Aug,Q3,H2,08/2023,0
228,2023-08-16,16,8,2023,Wednesday,Aug,Q3,H2,08/2023,0
229,2023-08-17,17,8,2023,Thursday,Aug,Q3,H2,08/2023,0
230,2023-08-18,18,8,2023,Friday,Aug,Q3,H2,08/2023,0
231,2023-08-19,19,8,2023,Saturday,Aug,Q3,H2,08/2023,1
232,2023-08-20,20,8,2023,Sunday,Aug,Q3,H2,08/2023,1
233,2023-08-21,21,8,2023,Monday,Aug,Q3,H2,08/2023,0
234,2023-08-22,22,8,2023,Tuesday,Aug,Q3,H2,08/2023,0
235,2023-08-23,23,8,2023,Wednesday,Aug,Q3,H2,08/2023,0
236,2023-08-24,24,8,2023,Thursday,Aug,Q3,H2,08/2023,0
237,2023-08-25,25,8,2023,Friday,Aug,Q3,H2,08/2023,0
238,2023-08-26,26,8,2023,Saturday,Aug,Q3,H2,08/2023,1
239,2023-08-27,27,8,2023,Sunday,Aug,Q3,H2,08/2023,1
240,2023-08-28,28,8,2023,Monday,Aug,Q3,H2,08/2023,0
241,2023-08-29,29,8,2023,Tuesday,Aug,Q3,H2,08/2023,0
242,2023-08-30,30,8,2023,Wednesday,Aug,Q3,H2,08/2023,0
243,2023-08-31,31,8,2023,Thursday,Aug,Q3,H2,08/2023,0
244,2023-09-01,1,9,2023,Friday,Sep,Q3,H2,09/2023,0
245,2023-09-02,2,9,2023,Saturday,Sep,Q3,H2,09/2023,1
246,2023-09-03,3,9,2023,Sunday,Sep,Q3,H2,09/2023,1
247,2023-09-04,4,9,2023,Monday,Sep,Q3,H2,09/2023,0
248,2023-09-05,5,9,2023,Tuesday,Sep,Q3,H2,09/2023,0
249,2023-09-06,6,9,2023,Wednesday,Sep,Q3,H2,09/2023,0
250,2023-09-07,7,9,2023,Thursday,Sep,Q3,H2,09/2023,0
251,2023-09-08,8,9,2023,Friday,Sep,Q3,H2,09/2023,0
252,2023-09-09,9,9,2023,Saturday,Sep,Q3,H2,09/2023,1
253,2023-09-10,10,9,2023,Sunday,Sep,Q3,H2,09/2023,1
254,2023-09-11,11,9,2023,Monday,Sep,Q3,H2,09/2023,0
255,2023-09-12,12,9,2023,Tuesday,Sep,Q3,H2,09/2023,0
256,2023-09-13,13,9,2023,Wednesday,Sep,Q3,H2,09/2023,0
257,2023-09-14,14,9,2023,Thursday,Sep,Q3,H2,09/2023,0
258,2023-09-15,15,9,2023,Friday,Sep,Q3,H2,09/2023,0
259,2023-09-16,16,9,2023,Saturday,Sep,Q3,H2,09/2023,1
260,2023-09-17,17,9,2023,Sunday,Sep,Q3,H2,09/2023,1
261,2023-09-18,18,9,2023,Monday,Sep,Q3,H2,09/2023,0
262,2023-09-19,19,9,2023,Tuesday,Sep,Q3,H2,09/2023,0
263,2023-09-20,20,9,2023,Wednesday,Sep,Q3,H2,09/2023,0
264,2023-09-21,21,9,2023,Thursday,Sep,Q3,H2,09/2023,0
265,2023-09-22,22,9,2023,Friday,Sep,Q3,H2,09/2023,0
266,2023-09-23,23,9,2023,Saturday,Sep,Q3,H2,09/2023,1
267,2023-09-24,24,9,2023,Sunday,Sep,Q3,H2,09/2023,1
268,2023-09-25,25,9,2023,Monday,Sep,Q3,H2,09/2023,0
269,2023-09-26,26,9,2023,Tuesday,Sep,Q3,H2,09/2023,0
270,2023-09-27,27,9,2023,Wednesday,Sep,Q3,H2,09/2023,0
271,2023-09-28,28,9,2023,Thursday,Sep,Q3,H2,09/2023,0
272,2023-09-29,29,9,2023,Friday,Sep,Q3,H2,09/2023,0
273,2023-09-30,30,9,2023,Saturday,Sep,Q3,H2,09/2023,1
274,2023-10-01,1,10,2023,Sunday,Oct,Q4,H2,10/2023,1
275,2023-10-02,2,10,2023,Monday,Oct,Q4,H2,10/2023,0
276,2023-10-03,3,10,2023,Tuesday,Oct,Q4,H2,10/2023,0
277,2023-10-04,4,10,2023,Wednesday,Oct,Q4,H2,10/2023,0
278,2023-10-05,5,10,2023,Thursday,Oct,Q4,H2,10/2023,0
279,2023-10-06,6,10,2023,Friday,Oct,Q4,H2,10/2023,0
